iter	Passed	Remaining
0	100	19970
1	115	11461
2	132	8703
3	149	7329
4	167	6544
5	185	5998
6	203	5615
7	225	5411
8	245	5202
9	262	4994
10	278	4783
11	294	4610
12	309	4455
13	325	4318
14	339	4190
15	354	4078
16	370	3985
17	385	3896
18	400	3812
19	415	3739
20	430	3668
21	445	3601
22	460	3540
23	477	3500
24	496	3478
25	513	3435
26	529	3390
27	548	3366
28	566	3342
29	585	3316
30	613	3346
31	712	3743
32	732	3706
33	749	3660
34	766	3612
35	786	3582
36	802	3536
37	820	3496
38	838	3462
39	860	3442
40	891	3456
41	912	3432
42	930	3396
43	947	3359
44	966	3328
45	982	3289
46	999	3255
47	1014	3213
48	1030	3175
49	1045	3137
50	1060	3098
51	1074	3059
52	1089	3022
53	1104	2987
54	1124	2964
55	1144	2941
56	1168	2931
57	1195	2928
58	1219	2913
59	1235	2882
60	1251	2852
61	1274	2837
62	1293	2812
63	1311	2785
64	1325	2752
65	1340	2721
66	1357	2695
67	1376	2671
68	1391	2642
69	1406	2612
70	1423	2586
71	1438	2558
72	1453	2528
73	1468	2500
74	1482	2471
75	1497	2442
76	1511	2414
77	1525	2385
78	1538	2357
79	1552	2329
80	1567	2302
81	1581	2276
82	1596	2249
83	1611	2225
84	1626	2200
85	1641	2175
86	1655	2150
87	1669	2125
88	1683	2099
89	1697	2075
90	1711	2050
91	1725	2025
92	1740	2002
93	1753	1977
94	1768	1955
95	1782	1931
96	1797	1908
97	1810	1883
98	1823	1860
99	1837	1837
100	1852	1815
101	1865	1792
102	1879	1770
103	1894	1748
104	1908	1727
105	1923	1705
106	1937	1684
107	1951	1662
108	1965	1640
109	1979	1619
110	1994	1598
111	2008	1578
112	2021	1556
113	2036	1536
114	2049	1514
115	2064	1494
116	2077	1473
117	2092	1453
118	2106	1433
119	2121	1414
120	2135	1394
121	2150	1374
122	2164	1355
123	2178	1335
124	2193	1315
125	2207	1296
126	2221	1276
127	2234	1257
128	2248	1237
129	2263	1218
130	2277	1199
131	2290	1180
132	2304	1161
133	2319	1142
134	2333	1123
135	2347	1104
136	2361	1086
137	2375	1067
138	2389	1048
139	2403	1030
140	2418	1011
141	2432	993
142	2446	975
143	2460	956
144	2474	938
145	2488	920
146	2503	902
147	2516	884
148	2529	865
149	2543	847
150	2557	829
151	2570	811
152	2584	794
153	2600	776
154	2614	759
155	2628	741
156	2643	723
157	2657	706
158	2670	688
159	2684	671
160	2698	653
161	2712	636
162	2726	618
163	2741	601
164	2755	584
165	2768	567
166	2782	549
167	2796	532
168	2810	515
169	2824	498
170	2838	481
171	2853	464
172	2868	447
173	2882	430
174	2896	413
175	2909	396
176	2924	379
177	2938	363
178	2952	346
179	2966	329
180	2980	312
181	2993	296
182	3008	279
183	3021	262
184	3035	246
185	3049	229
186	3063	212
187	3076	196
188	3091	179
189	3105	163
190	3120	147
191	3135	130
192	3149	114
193	3163	97
194	3177	81
195	3191	65
196	3205	48
197	3219	32
198	3233	16
199	3247	0
