"K","Mean_Accuracy","SD"
2,0.550956641200034,0.0283781251171978
3,0.55941378018855,0.0257356967954276
4,0.561924545742235,0.0222043180452376
5,0.560201932615725,0.0230037776973306
6,0.564249633448124,0.0196197525863432
7,0.566563647618528,0.0161095538849208
8,0.567730072198347,0.0195765735957601
9,0.55945191009239,0.0230450778012584
10,0.551564276293418,0.0172668716870709
11,0.552728138355385,0.0200220354252777
12,0.54869110632785,0.0182885551947418
13,0.547731037229451,0.020162381663279
14,0.546577567242906,0.0184174828435697
15,0.548880475269291,0.0192805876152351
16,0.542907444473859,0.0169686353114119
17,0.547526538764443,0.0154682633283061
18,0.545614938553517,0.0185091069033993
19,0.545991407807145,0.0189902014657602
20,0.549073156407163,0.019375874761039
21,0.548489542264384,0.019608170739143
22,0.55002284328865,0.0176360080852748
23,0.551565729968975,0.0185834228910529
24,0.549840138288559,0.0176869289265827
25,0.552342374325246,0.0195353284152082
26,0.552723663371372,0.0169847891943934
27,0.554845717667067,0.0192062277634183
28,0.552543557798261,0.0196718761599918
29,0.557551722502629,0.0239476381845713
30,0.556015484199134,0.0230130039812837
31,0.55716637884963,0.0225336732001991
32,0.557746646731837,0.0213430722135332
33,0.556787706299404,0.0248608309591079
34,0.554096869392635,0.0237659954650014
35,0.555045823763127,0.0215689947049629
36,0.555817636906643,0.0184089285418671
37,0.556010682848907,0.0191397382596014
38,0.55523996281093,0.0189261879182896
39,0.555241795621649,0.0221833107592812
40,0.552353118509925,0.0177531088574977
41,0.554855350287526,0.0183352084629328
42,0.551388250906162,0.0164415543868738
43,0.555045813822681,0.0156072187438147
44,0.553502918624183,0.0133781188803681
45,0.553130496873479,0.0192702808112033
46,0.548891936392144,0.0169648834026109
47,0.552348311511037,0.0169110064440997
48,0.550619751266463,0.016824897736478
49,0.554856467623407,0.0174981221735877
50,0.553502910138898,0.0163740232065876
